Datetime,RPS Price,Smoothed RPS Price,Variance,Std_Dev_Pos,Std_Dev_Neg
2022-12-28 01:30:00,8039.77,11832.267699999999,8060053.713706162,17510.31444644588,6154.220953554118
2022-12-28 02:00:00,7844.6,11826.7908,8101733.080374495,17519.49949810655,6134.08210189345
2022-12-28 02:30:00,7755.09,11823.396900000002,8129284.684126041,17525.776994004977,6121.016805995028
2022-12-28 03:00:00,7628.38,11824.145999999999,8123046.895965041,17524.337890091083,6123.954109908915
2022-12-28 03:30:00,7598.08,11830.2859,8073247.457684424,17512.978028801077,6147.593771198925
2022-12-28 04:00:00,7586.16,11836.136999999999,8024661.738307465,17501.703781287626,6170.570218712371
2022-12-28 04:30:00,7698.62,11846.120700000001,7943701.51791101,17483.035287932307,6209.206112067695
2022-12-28 05:00:00,8171.47,11858.4772,7843530.643763182,17459.73800227057,6257.216397729431
2022-12-28 05:30:00,8705.32,11874.7699,7716141.526216547,17430.3586271167,6319.181172883296
2022-12-28 06:00:00,9491.46,11897.2175,7558038.150014284,17395.594769709413,6398.840230290588
2022-12-28 06:30:00,10362.78,11931.801900000002,7379238.918998768,17364.752817870976,6498.850982129027
2022-12-28 07:00:00,11919.37,11971.188600000001,7225587.006106495,17347.279003297364,6595.09819670264
2022-12-28 07:30:00,13104.38,12017.309099999999,7107495.805936949,17349.286521533944,6685.331678466052
2022-12-28 08:00:00,14055.69,12069.941,7064367.414200393,17385.71654612698,6754.165453873023
2022-12-28 08:30:00,14813.98,12123.883399999999,7135319.411256392,17466.287132873953,6781.479667126044
2022-12-28 09:00:00,15533.79,12170.583399999998,7257918.383418008,17558.688218363503,6782.478581636492
2022-12-28 09:30:00,15462.55,12206.5294,7392716.871025279,17644.439612949558,6768.619187050441
2022-12-28 10:00:00,15087.42,12225.567000000003,7470460.345085238,17691.995576350466,6759.13842364954
2022-12-28 10:30:00,14645.5,12229.843499999999,7490871.429470844,17703.73477749934,6755.952222500658
2022-12-28 11:00:00,14282.58,12232.188900000001,7504176.735839571,17710.939391066215,6753.438408933786
2022-12-28 11:30:00,14011.24,12231.8327,7502120.411805145,17709.832485251965,6753.832914748035
2022-12-28 12:00:00,13805.69,12230.831500000002,7497028.575794076,17706.971956852467,6754.691043147539
2022-12-28 12:30:00,13442.42,12226.326800000003,7476603.75773651,17695.002602326014,6757.650997673992
2022-12-28 13:00:00,13132.09,12217.2432,7440465.9855627725,17672.68671471547,6761.79968528453
2022-12-28 13:30:00,12778.19,12203.0244,7390340.372365681,17640.060494184287,6765.988305815713
2022-12-28 14:00:00,12599.88,12191.8834,7354458.337597802,17615.704317986805,6768.062482013197
2022-12-28 14:30:00,12658.67,12180.0429,7327316.996921186,17593.846367774273,6766.239432225727
2022-12-28 15:00:00,12425.73,12170.470299999997,7306580.358939691,17576.6076859493,6764.332914050694
2022-12-28 15:30:00,12424.93,12167.333200000001,7300513.313694085,17571.225617024633,6763.440782975367
2022-12-28 16:00:00,12654.72,12170.4746,7308206.0381113365,17577.21337235116,6763.735827648838
2022-12-28 16:30:00,13214.11,12182.672100000002,7342390.619779771,17602.04129568312,6763.3029043168835
2022-12-28 17:00:00,13783.3,12197.709299999999,7391816.507896862,17635.288359801103,6760.130240198896
2022-12-28 17:30:00,14748.15,12210.7344,7446430.966650528,17668.364276292647,6753.10452370735
2022-12-28 18:00:00,14739.76,12211.6413,7450535.627471407,17670.77516077733,6752.507439222666
2022-12-28 18:30:00,14449.46,12199.538499999999,7388895.697874882,17636.04314834709,6763.033851652907
2022-12-28 19:00:00,14057.03,12178.9242,7271508.976209843,17572.0713243458,6785.7770756541995
2022-12-28 19:30:00,13635.15,12153.7376,7144790.403611743,17499.685749247892,6807.789450752108
2022-12-28 20:00:00,13313.61,12130.0767,7023900.515308582,17430.60516999564,6829.548230004359
2022-12-28 20:30:00,13028.74,12104.5858,6913039.625644189,17363.117772193073,6846.053827806929
2022-12-28 21:00:00,12780.11,12081.3099,6830952.008329675,17308.527901319507,6854.091898680494
2022-12-28 21:30:00,12746.77,12056.1936,6762179.862224675,17257.03194096953,6855.35525903047
2022-12-28 22:00:00,12579.59,12027.6754,6711996.155234574,17209.17948867332,6846.171311326683
2022-12-28 22:30:00,11679.98,11995.6923,6693582.861055656,17170.084191248927,6821.300408751075
2022-12-28 23:00:00,10687.16,11956.761299999998,6719565.7093199,17141.186324752463,6772.336275247533
2022-12-28 23:30:00,9799.34,11916.8843,6786038.07430091,17126.889318923077,6706.879281076924
2022-12-29 00:00:00,9342.07,11884.2924,6888600.06600569,17133.52093989258,6635.063860107422
2022-12-29 00:30:00,8563.22,11861.8045,6984172.8891375195,17147.321651287097,6576.287348712903
2022-12-29 01:00:00,8165.76,11849.375799999998,7043919.160312884,17157.452348171806,6541.29925182819
2022-12-29 01:30:00,7827.03,11842.905799999999,7079237.789759348,17164.273214399927,6521.538385600069
2022-12-29 02:00:00,7703.55,11836.706400000001,7119021.8581438735,17173.00543890098,6500.407361099024
2022-12-29 02:30:00,7788.72,11831.6868,7155649.28713248,17181.69587929416,6481.677720705842
2022-12-29 03:00:00,7637.0,11832.4922,7149544.437299551,17180.218609344276,6484.765790655726
2022-12-29 03:30:00,7739.34,11835.190899999998,7128531.069448067,17175.052721975568,6495.329078024427
2022-12-29 04:00:00,8119.37,11841.8605,7078004.393616309,17162.76433059732,6520.956669402681
2022-12-29 04:30:00,8015.44,11851.8232,7003126.615215309,17144.507439670946,6559.138960329054
2022-12-29 05:00:00,8326.24,11864.0646,6912916.303604279,17122.549668383966,6605.579531616035
2022-12-29 05:30:00,8457.29,11877.3631,6815672.598025037,17098.731732082986,6655.994467917015
2022-12-29 06:00:00,8810.96,11898.319500000001,6682677.724887016,17068.49463238653,6728.144367613472
2022-12-29 06:30:00,9521.98,11932.0963,6542459.794808792,17047.742806477472,6816.449793522527
2022-12-29 07:00:00,11084.61,11967.9525,6437289.257464792,17042.315221550278,6893.589778449719
2022-12-29 07:30:00,11989.78,12006.6934,6393553.681062457,17063.788883007,6949.597916992998
2022-12-29 08:00:00,13032.83,12045.041600000002,6413256.327718012,17109.92316928393,6980.1600307160725
2022-12-29 08:30:00,14269.6,12076.6451,6505110.888517557,17177.66887509361,6975.621324906393
2022-12-29 09:00:00,15445.12,12099.254400000002,6603171.088064678,17238.58162759105,6959.927172408951
2022-12-29 09:30:00,15781.73,12111.86,6668883.515522617,17276.69630544962,6947.023694550382
2022-12-29 10:00:00,15842.12,12111.1352,6664979.490287223,17274.459512993413,6947.810887006588
2022-12-29 10:30:00,15189.35,12101.8886,6609594.259779223,17243.71483579569,6960.062364204308
2022-12-29 11:00:00,14804.09,12091.698400000001,6550794.819204881,17210.602508968983,6972.794291031019
2022-12-29 11:30:00,15156.39,12083.2568,6506832.630849648,17184.955587991957,6981.558012008043
2022-12-29 12:00:00,15071.81,12075.8297,6473904.294167982,17164.603341720758,6987.056058279244
2022-12-29 12:30:00,14698.71,12067.8601,6444726.62094584,17145.153324128714,6990.566875871285
2022-12-29 13:00:00,14247.73,12058.7031,6417161.12070584,17125.126343553915,6992.279856446087
2022-12-29 13:30:00,13736.89,12048.760999999999,6391957.335828679,17105.22511470651,6992.296885293486
2022-12-29 14:00:00,13244.22,12041.8386,6377259.469597406,17092.485873210593,6991.191326789403
2022-12-29 14:30:00,13234.66,12034.915599999998,6366804.160593971,17081.420989115904,6988.4102108840925
2022-12-29 15:00:00,12728.6,12031.861299999999,6363150.807160304,17076.91860677474,6986.803993225257
2022-12-29 15:30:00,12768.92,12032.9891,6364572.165070284,17078.609840828736,6987.368359171263
2022-12-29 16:00:00,12969.36,12037.363399999998,6372014.738272557,17085.933390907347,6988.793409092649
2022-12-29 16:30:00,13538.14,12049.2751,6395549.267515536,17107.159743807344,6991.3904561926565
2022-12-29 17:00:00,14173.73,12067.7207,6443571.626933233,17144.558939271854,6990.882460728147
2022-12-29 17:30:00,14569.07,12085.191100000002,6494810.513682,17182.174723156742,6988.207476843262
2022-12-29 18:00:00,14931.02,12096.9447,6535431.005145758,17209.842510496805,6984.046889503194
2022-12-29 18:30:00,14496.92,12099.4585,6544626.883691051,17215.95217582568,6982.964824174318
2022-12-29 19:00:00,14121.5,12089.5856,6501545.47830306,17189.211264027923,6989.959935972077
2022-12-29 19:30:00,13977.26,12078.375,6454092.94034989,17159.35637778516,6997.393622214842
2022-12-29 20:00:00,13397.44,12067.9645,6415063.760278929,17133.55973068274,7002.369269317261
2022-12-29 20:30:00,13487.95,12059.538999999999,6388306.359505444,17114.558825680386,7004.519174319611
2022-12-29 21:00:00,12995.56,12055.083600000002,6376109.646200434,17105.275535441837,7004.891664558168
2022-12-29 21:30:00,12674.88,12050.603099999998,6366725.563447253,17097.077339881642,7004.128860118355
2022-12-29 22:00:00,12168.32,12041.179199999999,6356984.604422981,17083.791461287983,6998.566938712014
2022-12-29 22:30:00,11487.08,12022.5102,6363968.87344177,17067.891800411122,6977.12859958888
2022-12-29 23:00:00,10697.51,11995.6598,6396777.078863991,17054.02992440331,6937.2896755966885
2022-12-29 23:30:00,9699.31,11963.8456,6460461.568262659,17047.33320921581,6880.357990784194
2022-12-30 00:00:00,9117.84,11935.4069,6557646.157544225,17056.98718641326,6813.8266135867425
2022-12-30 00:30:00,8713.3,11912.489400000002,6667958.647928316,17076.967552893406,6748.011247106599
2022-12-30 01:00:00,8644.92,11895.5626,6768870.621457206,17098.97325896483,6692.1519410351675
2022-12-30 01:30:00,8854.63,11880.455699999999,6869622.479084752,17122.448633640695,6638.462766359301
2022-12-30 02:00:00,8820.52,11871.7497,6935545.062087177,17138.83430615061,6604.665093849392
2022-12-30 02:30:00,8353.22,11865.733,6984211.24760848,17151.26466582454,6580.201334175462
2022-12-30 03:00:00,7971.26,11862.4424,7012142.044549127,17158.53229521482,6566.352504785182
2022-12-30 03:30:00,8120.31,11860.734600000002,7026782.301503268,17162.350316554068,6559.118883445936
2022-12-30 04:00:00,8114.47,11859.586099999999,7036362.103229481,17164.81450346369,6554.357696536305
2022-12-30 04:30:00,8422.05,11864.3409,6998062.203637966,17155.111053252913,6573.570746747085
2022-12-30 05:00:00,8624.65,11870.4854,6950633.513824481,17143.2962306005,6597.674569399501
2022-12-30 05:30:00,8822.22,11877.601999999999,6901768.440944844,17131.845405456144,6623.358594543855
2022-12-30 06:00:00,8916.01,11891.202299999999,6814150.990593036,17111.988061010707,6670.416538989292
2022-12-30 06:30:00,9794.26,11912.754099999998,6705384.141347055,17091.705399769886,6733.80280023011
2022-12-30 07:00:00,11549.15,11941.3819,6587496.133293722,17074.605500543315,6808.158299456684
2022-12-30 07:30:00,12290.94,11976.766899999999,6488928.220578569,17071.441853548487,6882.091946451512
2022-12-30 08:00:00,13365.55,12012.2869,6438945.703633114,17087.30244820598,6937.271351794018
2022-12-30 08:30:00,14197.6,12041.7575,6470566.633404182,17129.219198491373,6954.295801508626
2022-12-30 09:00:00,15079.72,12064.7269,6520914.064033111,17171.94299647883,6957.5108035211715
2022-12-30 09:30:00,15365.31,12077.3956,6561740.645341445,17200.574552697806,6954.216647302194
2022-12-30 10:00:00,15316.25,12073.5417,6546158.149282323,17190.633901351204,6956.449498648797
2022-12-30 10:30:00,14741.5,12055.9107,6457153.876478687,17138.096795167585,6973.724604832415
2022-12-30 11:00:00,14609.13,12032.683500000001,6336275.168472869,17067.07528788178,6998.291712118224
2022-12-30 11:30:00,14443.53,12007.127700000001,6204911.93396475,16989.05982878889,7025.195571211111
2022-12-30 12:00:00,14243.26,11985.585299999999,6112829.11924475,16930.412544401872,7040.758055598128
2022-12-30 12:30:00,13902.79,11963.0199,6035262.612703417,16876.37419730176,7049.665602698239
