Datetime,RPS Price,Smoothed RPS Price,Variance,Std_Dev_Pos,Std_Dev_Neg
2022-08-01 00:00:00,57469.73,85623.9358,740679592.4148041,140054.7944158552,31193.077184144822
2022-08-01 00:30:00,53519.53,84968.42725490197,747780264.654032,139659.5696695209,30277.28484028305
2022-08-01 01:00:00,50990.3,84307.53942307692,755830088.2887895,139292.26778609748,29322.811060056352
2022-08-01 01:30:00,49442.27,83656.92396226415,763729819.6092126,138928.24815878444,28385.59976574385
2022-08-01 02:00:00,48233.66,83017.84037037037,771374926.2339166,138565.11487538696,27470.56586535377
2022-08-01 02:30:00,47648.29,82401.4370909091,777987620.5389171,138186.2959878864,26616.57819393179
2022-08-01 03:00:00,47358.41,81813.32464285714,783211461.1615779,137785.15545663625,25841.49382907804
2022-08-01 03:30:00,47331.69,81267.47280701755,786208933.1335633,137346.30778541428,25188.637828620813
2022-08-01 04:00:00,48267.44,80774.66827586206,786501459.6995689,136863.93497456543,24685.401577158686
2022-08-01 04:30:00,50265.45,80386.32186440678,781839052.8868705,136309.09192765993,24463.55180115364
2022-08-01 05:00:00,54880.67,80151.10583333332,771907138.3923433,135717.5395282302,24584.67213843642
2022-08-01 05:30:00,62159.03,80172.16508196722,759069072.428272,135274.58145106203,25069.74871287241
2022-08-01 06:00:00,75912.94,80462.05387096773,751835518.7618306,135301.29233255947,25622.815409376002
2022-08-01 06:30:00,91064.48,81075.57873015873,763423142.8562175,136335.80467454725,25815.352785770207
2022-08-01 07:00:00,110821.65,81848.30453125,789520045.6668503,138045.10321825175,25651.505844248255
2022-08-01 07:30:00,121461.64,82552.27938461538,809396533.5744088,139452.0696680394,25652.489101191357
2022-08-01 08:00:00,120466.55,83110.54348484849,817513760.3819243,140294.93857238698,25926.14839730999
2022-08-01 08:30:00,112808.59,83604.92223880597,821502681.8633507,140928.65839978386,26281.18607782809
2022-08-01 09:00:00,106549.07,84017.83235294117,820835091.645839,141318.27185023786,26717.392855644503
2022-08-01 09:30:00,100688.7,84330.09173913044,815491896.1310967,141443.7292044888,27216.45427377207
2022-08-01 10:00:00,95844.6,84572.53414285714,807787655.3374968,141415.74500704027,27729.32327867401
2022-08-01 10:30:00,91958.49,84762.82507042254,798818786.9248908,141289.58994954475,28236.060191300334
2022-08-01 11:00:00,90251.9,84893.55763888889,788798370.415925,141064.66659770953,28722.44868006825
2022-08-01 11:30:00,88772.94,84986.49232876713,778473328.0240234,140788.7621042529,29184.222553281346
2022-08-01 12:00:00,87178.42,85030.37837837837,767951832.7478491,140454.26610732966,29606.49064942709
2022-08-01 12:30:00,84009.37,85041.17453333334,757582847.0504194,140089.6203624544,29992.728704212263
2022-08-01 13:00:00,81888.17,85032.84828947368,747487011.2246782,139713.26566990992,30352.43090903745
2022-08-01 13:30:00,80131.65,85011.59792207793,737686427.3286402,139332.36475498043,30690.831089175423
2022-08-01 14:00:00,78735.84,84970.51756410257,728237716.5898678,138942.27746091777,30998.757667287355
2022-08-01 14:30:00,77425.43,84909.96367088608,719191010.7526567,138545.43740805582,31274.489933716322
2022-08-01 15:00:00,76407.31,84879.352125,710162292.4115661,138177.0928805542,31581.61136944579
2022-08-01 15:30:00,79525.99,84895.14567901235,701305468.1006372,137859.49097282815,31930.80038519654
2022-08-01 16:00:00,83257.11,85015.34524390244,693832106.6046448,137696.73120154956,32333.959286255318
2022-08-01 16:30:00,89642.3,85302.8221686747,692230106.9798803,137923.3545483411,32682.28978900829
2022-08-01 17:00:00,101061.42,85774.17785714286,702552784.7533469,138785.60246555522,32762.7532487305
2022-08-01 17:30:00,119363.19,86357.35011764706,723096701.3861653,140138.26499964457,32576.43523564955
2022-08-01 18:00:00,132520.27,86963.15918604651,746152079.3223885,141594.72805688853,32331.5903152045
2022-08-01 18:30:00,136345.97,87528.36724137931,765268925.0392618,142855.35613610453,32201.37834665409
2022-08-01 19:00:00,134366.06,88025.51488636363,778222439.2189653,143818.79187271622,32232.237900011038
2022-08-01 19:30:00,130512.62,88446.66483146067,785164689.996375,144488.24546571384,32405.0841972075
2022-08-01 20:00:00,125679.15,88787.62322222222,786805351.0086397,144887.72486236686,32687.521582077585
2022-08-01 20:30:00,119943.64,89035.97692307693,783675909.3570344,145024.40106082291,33047.55278533094
2022-08-01 21:00:00,113258.55,89178.51630434782,776933293.8968914,144925.56264393037,33431.46996476526
2022-08-01 21:30:00,103956.51,89192.71655913978,768507119.982279,144636.6384976996,33748.79462057995
2022-08-01 22:00:00,92911.05,89088.33,761267878.6136447,144270.49663429026,33906.163365709726
2022-08-01 22:30:00,81300.94,88881.59989473685,757229331.120409,143917.20041368855,33845.999375785155
2022-08-01 23:00:00,71240.79,88602.996875,756709981.7462065,143619.72094127667,33586.27280872333
2022-08-01 23:30:00,63770.18,88270.39402061857,759558178.0010571,143390.5601307114,33150.22791052571
2022-08-02 00:00:00,58150.95,87904.4012244898,764854852.5488124,143216.41990212665,32592.38254685294
2022-08-02 00:30:00,54445.89,87519.34656565657,771728653.1349019,143079.35567778331,31959.33745352982
2022-08-02 01:00:00,52193.0,87125.9374,779410491.3766068,142961.78579067485,31290.089009325144
2022-08-02 01:30:00,50602.26,87023.7033,786580673.8563875,143115.79450210754,30931.612097892452
2022-08-02 02:00:00,49824.92,86952.5995,791898923.7170405,143233.99691396052,30671.202086039477
2022-08-02 02:30:00,49146.41,86903.1768,795733798.0637587,143320.6846522176,30485.668947782397
2022-08-02 03:00:00,49115.66,86868.82209999999,798451738.190507,143382.59876341216,30355.04543658784
