Datetime,RPS Price,Smoothed RPS Price,Variance,Std_Dev_Pos,Std_Dev_Neg
2022-08-01 00:00:00,83679.43,129692.0926,1622081450.661808,210242.23724696654,49141.947953033465
2022-08-01 00:30:00,77811.82,128651.78196078431,1644834379.1779046,209764.89752609606,47538.66639547257
2022-08-01 01:00:00,74310.35,127598.68615384615,1670251285.1709383,209336.10194786152,45861.270359830785
2022-08-01 01:30:00,71518.99,126556.09452830188,1695741924.924137,208914.8688009715,44197.32025563225
2022-08-01 02:00:00,69375.79,125531.24222222222,1720464195.7261386,208488.19963330711,42574.28481113732
2022-08-01 02:30:00,68248.98,124538.37927272728,1742821473.6635256,208032.60598723794,41044.152558216636
2022-08-01 03:00:00,67828.68,123591.79517857144,1761311011.555302,207527.747226673,39655.84313046986
2022-08-01 03:30:00,68018.43,122717.66280701755,1773413151.17701,206941.48725537682,38493.83835865828
2022-08-01 04:00:00,69814.97,121940.2975862069,1777349847.5713592,206257.55199054242,37623.043181871384
2022-08-01 04:30:00,72933.18,121326.12525423728,1768961136.2302601,205444.164609188,37208.085899286554
2022-08-01 05:00:00,80199.81,120923.23516666667,1748717969.450524,204558.58581340034,37287.88451993298
2022-08-01 05:30:00,90757.41,120895.03967213114,1719621164.10032,203831.67003773787,37958.40930652441
2022-08-01 06:00:00,111141.52,121270.76467741936,1700183148.5485568,203737.31907490967,38804.21027992906
2022-08-01 06:30:00,134791.74,122119.14158730158,1718104672.717943,205019.1940050882,39219.08916951495
2022-08-01 07:00:00,163288.09,123246.8059375,1772217290.7257266,207442.22839562956,39051.383479370445
2022-08-01 07:30:00,182381.01,124351.34953846154,1823827472.3757677,209763.9357860578,38938.763290865274
2022-08-01 08:00:00,184473.58,125271.165,1851608580.0821953,211331.80827164178,39210.52172835822
2022-08-01 08:30:00,176403.81,126087.55104477612,1868208478.2914526,212533.10566249958,39641.996427052654
2022-08-01 09:00:00,169327.58,126828.3326470588,1877640271.655313,213491.82603742043,40164.83925669719
2022-08-01 09:30:00,162483.1,127449.67028985507,1876666086.8977418,214090.6787534629,40808.66182624722
2022-08-01 10:00:00,156889.72,127969.193,1868361296.912283,214418.2831493424,41520.10285065758
2022-08-01 10:30:00,153579.91,128418.3095774648,1855991525.9530194,214580.74979251486,42255.86936241473
2022-08-01 11:00:00,148602.95,128799.20916666667,1840296884.0232706,214596.5723900961,43001.84594323723
2022-08-01 11:30:00,145605.86,129101.05657534247,1821388370.7215765,214456.51031373173,43745.60283695323
2022-08-01 12:00:00,144004.43,129345.99054054054,1800877300.9960198,214219.47994673898,44472.50113434211
2022-08-01 12:30:00,140503.31,129534.78893333333,1779214483.736916,213896.26079666478,45173.31707000188
2022-08-01 13:00:00,137991.4,129677.05184210525,1757029767.829888,213510.92966795532,45843.1740162552
2022-08-01 13:30:00,135266.23,129791.08142857143,1734912166.582687,213095.6351236171,46486.527733525756
2022-08-01 14:00:00,132080.66,129867.44012820513,1712835630.5227113,212640.27698964684,47094.6032667634
2022-08-01 14:30:00,129667.64,129915.85164556961,1691061349.688233,212160.88431474016,47670.81897639905
2022-08-01 15:00:00,127928.41,129992.80687500001,1670129278.4056962,211727.23727995716,48258.37647004286
2022-08-01 15:30:00,131796.98,130092.81555555556,1650062803.0567284,211334.74569158145,48850.88541952966
2022-08-01 16:00:00,134935.19,130277.76536585366,1632496584.7909815,211086.09624308394,49469.43448862339
2022-08-01 16:30:00,140784.92,130648.45108433734,1623992945.7111912,211246.04275334917,50050.85941532551
2022-08-01 17:00:00,151315.45,131256.56345238094,1635490020.42446,212138.94770073157,50374.1792040303
2022-08-01 17:30:00,173103.31,131980.58223529413,1660577172.964633,213480.94230725046,50480.22216333781
2022-08-01 18:00:00,188789.84,132722.10918604652,1688329121.7372797,214900.6738300528,50543.54454204024
2022-08-01 18:30:00,192415.41,133398.40563218392,1708489176.5896425,216066.154521086,50730.65674328184
2022-08-01 19:00:00,189330.98,133984.75636363638,1719106401.8263607,216908.9724124206,51060.54031485216
2022-08-01 19:30:00,183589.21,134467.76730337078,1720334763.3489852,217421.6041850723,51513.93042166928
2022-08-01 20:00:00,176885.94,134841.40188888888,1713569411.580988,217631.96684845389,52050.83692932388
2022-08-01 20:30:00,169010.22,135090.84637362638,1700192003.5902116,217557.61552557535,52624.07722167739
2022-08-01 21:00:00,160342.65,135198.24989130435,1682569842.4154136,217236.52979563715,53159.969986971555
2022-08-01 21:30:00,147901.2,135137.45698924732,1664624747.0359313,216737.08314123238,53537.830837262256
2022-08-01 22:00:00,132661.57,134918.74521276596,1651222031.2777214,216189.20802128507,53648.28240424687
2022-08-01 22:30:00,117425.26,134560.3267368421,1645859900.8245578,215698.72457225807,53421.92890142616
2022-08-01 23:00:00,103746.96,134101.01791666666,1648787660.623178,215311.55074642165,52890.48508691168
2022-08-01 23:30:00,93779.92,133571.3175257732,1658829292.0572846,215028.77371137438,52113.86134017199
2022-08-02 00:00:00,85820.01,132994.19459183674,1674368905.4752698,214832.30076433488,51156.0884193386
2022-08-02 00:30:00,80060.82,132387.86161616162,1693679836.5423374,214696.54491366888,50079.17831865436
2022-08-02 01:00:00,76636.25,131763.4737,1715557986.3904107,214602.0634125346,48924.88398746541
2022-08-02 01:30:00,73890.8,131607.9052,1733089985.7497234,214868.69995358674,48347.110446413295
2022-08-02 02:00:00,72341.33,131496.198,1746478057.9234197,215077.96773296077,47914.42826703923
2022-08-02 02:30:00,71214.07,131414.5624,1756575608.199709,215237.60477379384,47591.52002620617
2022-08-02 03:00:00,70923.78,131359.7243,1763511803.4336545,215348.09976788616,47371.34883211386
2022-08-02 03:30:00,71529.67,131346.1268,1765232972.5264902,215375.47816073563,47316.775439264384
2022-08-02 04:00:00,73766.25,131372.298,1761965449.4381773,215323.84234406025,47420.753655939785
2022-08-02 04:30:00,77630.48,131472.2765,1750130684.9142752,215141.40306205454,47803.14993794546
2022-08-02 05:00:00,85704.13,131669.7644,1728714939.2673862,214825.40015049826,48514.12864950173
2022-08-02 05:30:00,97152.72,132042.1274,1696050184.2762716,214408.38710083312,49675.867699166876
2022-08-02 06:00:00,119203.31,132604.14190000002,1660524930.221464,214103.2199370297,51105.06386297032
2022-08-02 06:30:00,144189.99,133347.08370000002,1637067912.0006254,214268.4754824113,52425.69191758873
2022-08-02 07:00:00,174718.51,134154.4512,1632786446.3072913,214969.95580913528,53338.94659086474
2022-08-02 07:30:00,194289.66,134781.6784,1642967566.792975,215848.75104464346,53714.60575535655
2022-08-02 08:00:00,195042.14,135114.85,1654074670.4983795,216455.48364637332,53774.21635362669
2022-08-02 08:30:00,185059.17,135079.4074,1652183050.1544738,216373.51666148275,53785.298138517246
2022-08-02 09:00:00,179969.03,134767.0641,1632091735.069311,215565.37435632432,53968.75384367567
2022-08-02 09:30:00,176460.7,134371.0919,1608008712.2648618,214571.05978689785,54171.12401310215
2022-08-02 10:00:00,169700.63,134014.0388,1590438389.1413052,213774.64033086374,54253.43726913628
2022-08-02 10:30:00,163816.26,133689.2048,1577816286.0541563,213132.67617566828,54245.73342433173
2022-08-02 11:00:00,159856.47,133398.0197,1569357074.9201522,212628.24309789663,54167.796302103365
2022-08-02 11:30:00,155843.08,133131.9534,1563809233.2681456,212222.0092418856,54041.897558114404
