Datetime,RPS Price,Smoothed RPS Price,Variance,Std_Dev_Pos,Std_Dev_Neg
2022-08-01 00:00:00,7915.51,12412.4762,14622018.920513844,20060.225913612194,4764.726486387806
2022-08-01 00:30:00,7607.23,12327.01823529412,14702034.79241883,19995.664737101026,4658.371733487212
2022-08-01 01:00:00,7378.84,12241.161923076925,14797067.53048251,19934.553250828947,4547.7705953249015
2022-08-01 01:30:00,7234.05,12158.443773584906,14875150.029047031,19872.10698351235,4444.780563657464
2022-08-01 02:00:00,7193.43,12077.597592592592,14947436.489928063,19809.980534461953,4345.214650723233
2022-08-01 02:30:00,7207.32,11999.010727272727,15010306.357529096,19747.63805281345,4250.383401732004
2022-08-01 03:00:00,7181.97,11923.068392857142,15060357.033246467,19684.603558852712,4161.533226861572
2022-08-01 03:30:00,7270.32,11854.250701754387,15061366.938920934,19616.04609687295,4092.455306635823
2022-08-01 04:00:00,7500.53,11795.141206896551,14999780.509396771,19541.051226874002,4049.2311869191
2022-08-01 04:30:00,7859.14,11748.135423728814,14871526.679483876,19460.859113706014,4035.4117337516154
2022-08-01 05:00:00,8487.22,11718.344166666668,14672718.045095911,19379.34098042293,4057.347352910403
2022-08-01 05:30:00,9442.14,11716.05262295082,14428493.06587301,19313.023878885124,4119.081367016515
2022-08-01 06:00:00,11235.23,11750.992903225806,14267651.430175044,19305.501869445925,4196.483937005687
2022-08-01 06:30:00,13646.16,11821.909365079366,14354364.127406048,19399.340097829365,4244.4786323293665
2022-08-01 07:00:00,16399.21,11909.893437499999,14621953.685746731,19557.626091233844,4262.160783766154
2022-08-01 07:30:00,18074.17,11994.094153846154,14854320.100565292,19702.35468409947,4285.8336235928355
2022-08-01 08:00:00,18401.61,12063.870909090909,14947132.606802242,19796.175250437605,4331.566567744212
2022-08-01 08:30:00,17713.8,12119.37537313433,14927070.851064635,19846.48889658269,4392.261849685969
2022-08-01 09:00:00,17011.02,12163.761764705883,14838249.068268484,19867.85134577086,4459.672183640906
2022-08-01 09:30:00,16113.97,12198.37652173913,14702714.040055374,19867.20017078867,4529.552872689591
2022-08-01 10:00:00,14964.16,12229.668142857143,14558172.816534184,19860.702886988292,4598.633398725995
2022-08-01 10:30:00,14260.57,12256.547605633803,14401496.811015615,19846.408424124646,4666.686787142962
2022-08-01 11:00:00,13466.17,12282.4525,14246975.403514791,19831.48565756787,4733.4193424321265
2022-08-01 11:30:00,12933.29,12308.27383561644,14097772.865362864,19817.67404212105,4798.87362911183
2022-08-01 12:00:00,12559.55,12329.26864864865,13937270.57002007,19795.79945485847,4862.737842438828
2022-08-01 12:30:00,12117.26,12346.930400000001,13772324.385390382,19769.146884417678,4924.713915582322
2022-08-01 13:00:00,11701.72,12360.681710526314,13603064.882715706,19737.148312556234,4984.215108496395
2022-08-01 13:30:00,11320.71,12373.017142857143,13435793.729481205,19703.990810653584,5042.043475060701
2022-08-01 14:00:00,11143.24,12388.126025641026,13279108.612265822,19676.228278564162,5100.02377271789
2022-08-01 14:30:00,10961.77,12406.820379746834,13136472.461216522,19655.674761293347,5157.96599820032
